timestamp_local,lat,lon,ping_ms,band,cellid,arfcn,rsrp,sinr,rsrq,uplink,downlink
2026-03-19 13:16:08.368841-05:00,42.020549,-93.7768086,16.3,mid-band,00019C01F,630720.0,-53.0,17,-10,,
2026-03-19 13:16:24.870373-05:00,42.0205489,-93.7768082,26.0,mid-band,00019C01F,630720.0,-51.0,18,-10,53.8,168.0
2026-03-19 13:17:25.151345-05:00,42.0199123,-93.7767686,19.4,mid-band,00019C01F,630720.0,-44.0,23,-10,62.9,232.0
2026-03-19 13:17:33.360997-05:00,42.0197904,-93.7767798,31.5,mid-band,00019C01F,630720.0,-44.0,25,-10,41.9,275.0
2026-03-19 13:17:35.951518-05:00,42.0197098,-93.7767868,38.6,mid-band,00019C01F,630720.0,-52.0,21,-10,115.0,214.0
2026-03-19 13:17:38.549187-05:00,42.0196034,-93.7767848,42.9,mid-band,00019C01F,630720.0,-54.0,23,-10,115.0,199.0
2026-03-19 13:17:41.151076-05:00,42.0195559,-93.7767816,45.9,mid-band,00019C01F,630720.0,-56.0,21,-10,157.0,188.0
2026-03-19 13:17:43.755860-05:00,42.0195433,-93.7767813,39.8,mid-band,00019C01F,630720.0,-57.0,22,-10,126.0,207.0
2026-03-19 13:17:46.354345-05:00,42.019541,-93.7767816,63.9,mid-band,00019C01F,630720.0,-57.0,22,-10,73.4,127.0
2026-03-19 13:17:48.977212-05:00,42.0195391,-93.7767807,33.8,mid-band,00019C01F,630720.0,-57.0,22,-10,,
2026-03-19 13:17:51.569536-05:00,42.0195377,-93.7767794,17.2,mid-band,00019C01F,630720.0,-56.0,21,-10,,
2026-03-19 13:17:54.145555-05:00,42.0195379,-93.7767777,30.3,mid-band,00019C01F,630720.0,-56.0,21,-10,115.0,216.0
2026-03-19 13:17:56.734931-05:00,42.0195389,-93.7767767,28.1,mid-band,00019C01F,630720.0,-57.0,21,-10,136.0,177.0
2026-03-19 13:17:59.321936-05:00,42.0195342,-93.7767763,32.5,mid-band,00019C01F,630720.0,-57.0,18,-10,136.0,199.0
2026-03-19 13:18:01.913534-05:00,42.0195083,-93.7767754,38.8,mid-band,00019C01F,630720.0,-54.0,20,-10,115.0,216.0
2026-03-19 13:18:04.511386-05:00,42.0194157,-93.7767632,15.7,mid-band,00019C01F,630720.0,-54.0,22,-10,41.9,208.0
2026-03-19 13:18:07.086004-05:00,42.0192923,-93.776751,59.2,mid-band,00019C01F,630720.0,-58.0,18,-10,62.9,231.0
2026-03-19 13:18:09.704059-05:00,42.0191952,-93.7767478,16.2,mid-band,00019C01F,630720.0,-57.0,21,-10,62.9,242.0
2026-03-19 13:18:12.279151-05:00,42.0190479,-93.7767455,17.3,mid-band,00019C01F,630720.0,-53.0,23,-10,62.9,244.0
2026-03-19 13:18:14.855497-05:00,42.0189499,-93.7767438,21.0,mid-band,00019C01F,630720.0,-53.0,20,-10,73.4,248.0
2026-03-19 13:18:17.435449-05:00,42.0188024,-93.7767425,20.3,mid-band,00019C01F,630720.0,-54.0,18,-10,73.4,256.0
2026-03-19 13:18:20.014668-05:00,42.0187051,-93.7767416,227.0,mid-band,00019C01F,630720.0,-56.0,17,-10,52.4,234.0
2026-03-19 13:18:22.800259-05:00,42.0185616,-93.7767387,19.9,mid-band,00019C01F,630720.0,-57.0,17,-10,,
2026-03-19 13:18:25.379086-05:00,42.0184218,-93.7767363,23.0,mid-band,00019C01F,630720.0,-58.0,12,-10,,
2026-03-19 13:18:27.960964-05:00,42.0183304,-93.7767352,20.6,mid-band,00019C01F,630720.0,-61.0,8,-10,,
2026-03-19 13:18:30.540278-05:00,42.0181933,-93.7767326,30.9,mid-band,00019C01F,630720.0,-56.0,9,-10,41.9,289.0
2026-03-19 13:18:33.130208-05:00,42.0177121,-93.7767253,24.3,mid-band,00019C01F,630720.0,-58.0,8,-10,94.4,237.0
2026-03-19 13:18:43.863189-05:00,42.0175562,-93.7767202,22.6,mid-band,00019C01F,630720.0,-57.0,4,-11,62.9,222.0
2026-03-19 13:18:46.444488-05:00,42.0173866,-93.7767171,17.4,mid-band,00019C01F,630720.0,-53.0,18,-10,62.9,239.0
2026-03-19 13:18:49.020899-05:00,42.0172681,-93.7767152,20.4,mid-band,00019C01F,630720.0,-58.0,18,-10,73.4,227.0
2026-03-19 13:18:51.600222-05:00,42.0170805,-93.7767145,22.0,mid-band,00019C01F,630720.0,-62.0,9,-10,83.9,217.0
2026-03-19 13:18:54.180980-05:00,42.0168804,-93.7767108,28.0,mid-band,00019C01F,630720.0,-62.0,13,-10,83.9,219.0
2026-03-19 13:18:56.767848-05:00,42.016736,-93.7767081,26.1,mid-band,00019C01F,630720.0,-73.0,6,-11,105.0,223.0
2026-03-19 13:18:59.352709-05:00,42.0165077,-93.7767051,31.8,mid-band,00019C01F,630720.0,-59.0,13,-10,105.0,228.0
2026-03-19 13:19:01.943506-05:00,42.0163564,-93.7767038,39.8,mid-band,00019C01F,630720.0,-62.0,12,-10,94.4,241.0
2026-03-19 13:19:04.542440-05:00,42.0161317,-93.7767,39.9,mid-band,00019C01F,630720.0,-59.0,17,-10,83.9,245.0
2026-03-19 13:19:07.141209-05:00,42.0159025,-93.7766947,35.9,mid-band,00019C01F,630720.0,-61.0,17,-10,94.4,238.0
2026-03-19 13:19:09.736002-05:00,42.0157466,-93.7766932,36.0,mid-band,00019C01F,630720.0,-55.0,20,-10,115.0,225.0
2026-03-19 13:19:12.330888-05:00,42.0155089,-93.7766949,19.2,mid-band,00019C01F,630720.0,-70.0,11,-10,94.4,187.0
2026-03-19 13:19:14.909117-05:00,42.0153453,-93.7766932,20.1,mid-band,00019C01F,630720.0,-64.0,18,-10,105.0,204.0
2026-03-19 13:19:17.487163-05:00,42.0150944,-93.7766841,22.6,mid-band,00019C01F,630720.0,-61.0,18,-10,105.0,201.0
2026-03-19 13:19:20.068831-05:00,42.0148382,-93.776678,28.9,mid-band,00019C01F,630720.0,-60.0,17,-10,105.0,222.0
2026-03-19 13:19:22.656865-05:00,42.0146722,-93.7766758,26.2,mid-band,00019C01F,630720.0,-62.0,16,-10,83.9,242.0
2026-03-19 13:19:25.242135-05:00,42.0144233,-93.7766728,28.3,mid-band,00019C01F,630720.0,-66.0,15,-10,94.4,234.0
2026-03-19 13:19:27.829470-05:00,42.0142564,-93.7766732,41.8,mid-band,00019C01F,630720.0,-67.0,15,-10,62.9,271.0
2026-03-19 13:19:30.430298-05:00,42.0140069,-93.7766698,24.6,mid-band,00019C01F,630720.0,-65.0,12,-10,,
2026-03-19 13:19:33.013207-05:00,42.013845,-93.7766666,28.9,mid-band,00019C01F,630720.0,-65.0,13,-10,115.0,209.0
