model,asset,criterion,target,weighting,threshold_dbm,lat,lon,gain,base
terrain-parametric,relay,availability,0.5,route 0.7 / area 0.3,-90.09999999998865,42.0085378,-93.8163845,0.009012117230625394,0.4261590409283036
terrain-parametric,relay,availability,0.5,route only,-90.09999999998865,42.0085378,-93.8163845,0.011787398199742838,0.4496356622374625
terrain-parametric,relay,availability,0.5,area only,-90.09999999998865,41.94394538268056,-93.76395936948202,0.004016064257028162,0.3713802578735997
terrain-parametric,relay,availability,0.7,route 0.7 / area 0.3,-80.39999999998645,42.0085378,-93.8163845,0.0036407275502624292,0.14287629911438565
terrain-parametric,relay,availability,0.7,route only,-80.39999999998645,42.0085378,-93.8163845,0.004929275610801587,0.1570938705529361
terrain-parametric,relay,availability,0.7,area only,-80.39999999998645,41.9361684,-93.7655216,0.0008454872120059187,0.10970196575776792
terrain-parametric,relay,availability,0.9,route 0.7 / area 0.3,-71.69999999998447,,,0.0,0.02902377212506941
terrain-parametric,relay,availability,0.9,route only,-71.69999999998447,,,0.0,0.03321903129018431
terrain-parametric,relay,availability,0.9,area only,-71.69999999998447,,,0.0,0.019234834073134643
terrain-parametric,relay,uplink_p50_mbps,5.0,route 0.7 / area 0.3,-86.09999999998774,41.9528301,-93.7954239,0.005117743516761142,0.28484167907671926
terrain-parametric,relay,uplink_p50_mbps,5.0,route only,-86.09999999998774,41.9942,-93.8486543,0.006858122588941307,0.30518645520788684
terrain-parametric,relay,uplink_p50_mbps,5.0,area only,-86.09999999998774,42.00323392022997,-93.68417877286504,0.002113718030014755,0.23737053477066158
terrain-parametric,relay,uplink_p50_mbps,10.0,route 0.7 / area 0.3,-84.79999999998745,41.9942,-93.8486543,0.004990920434960189,0.24435747366029192
terrain-parametric,relay,uplink_p50_mbps,10.0,route only,-84.79999999998745,41.9942,-93.8486543,0.006858122588941307,0.26275182168881267
terrain-parametric,relay,uplink_p50_mbps,10.0,area only,-84.79999999998745,42.000984,-93.8153927,0.0014796026210103785,0.20143732826041008
terrain-parametric,relay,uplink_p50_mbps,25.0,route 0.7 / area 0.3,-81.4999999999867,42.0085378,-93.8163845,0.0036407275502624015,0.16725559036742543
terrain-parametric,relay,uplink_p50_mbps,25.0,route only,-81.4999999999867,42.0085378,-93.8163845,0.004929275610801559,0.18431204457779682
terrain-parametric,relay,uplink_p50_mbps,25.0,area only,-81.4999999999867,41.9940984,-93.8075986,0.0008454872120059187,0.1274571972098922
terrain-parametric,relay,uplink_p10_mbps,2.0,route 0.7 / area 0.3,-71.69999999998447,,,0.0,0.02902377212506941
terrain-parametric,relay,uplink_p10_mbps,2.0,route only,-71.69999999998447,,,0.0,0.03321903129018431
terrain-parametric,relay,uplink_p10_mbps,2.0,area only,-71.69999999998447,,,0.0,0.019234834073134643
terrain-parametric,relay,uplink_p10_mbps,5.0,route 0.7 / area 0.3,-71.69999999998447,,,0.0,0.02902377212506941
terrain-parametric,relay,uplink_p10_mbps,5.0,route only,-71.69999999998447,,,0.0,0.03321903129018431
terrain-parametric,relay,uplink_p10_mbps,5.0,area only,-71.69999999998447,,,0.0,0.019234834073134643
terrain-parametric,relay,rsrp,-110.0,route 0.7 / area 0.3,-109.99999999999318,41.9836968,-93.8544515,0.022705857155243758,0.9434896895769962
terrain-parametric,relay,rsrp,-110.0,route only,-109.99999999999318,41.9836968,-93.8544515,0.02464637805400771,0.957136733819117
terrain-parametric,relay,rsrp,-110.0,area only,-109.99999999999318,42.00862378727991,-93.86549831063091,0.02663284717818637,0.9116465863453814
terrain-parametric,relay,rsrp,-100.0,route 0.7 / area 0.3,-99.9999999999909,41.9905537,-93.8493287,0.03264130132549958,0.7482217180586447
terrain-parametric,relay,rsrp,-100.0,route only,-99.9999999999909,41.9905537,-93.8493287,0.03793399057008129,0.7612516073724819
terrain-parametric,relay,rsrp,-100.0,area only,-99.9999999999909,41.9613489,-93.8642998,0.020714436694144966,0.7178186429930248
terrain-parametric,relay,rsrp,-95.0,route 0.7 / area 0.3,-94.99999999998977,41.9942,-93.8486543,0.016304403663789935,0.6139584348629205
terrain-parametric,relay,rsrp,-95.0,route only,-94.99999999998977,41.9942,-93.8486543,0.020574367766823864,0.6315902271753108
terrain-parametric,relay,rsrp,-95.0,area only,-94.99999999998977,41.9870467,-93.8467634,0.007609384908053296,0.5728175861340097
terrain-parametric,smallcell,availability,0.5,route 0.7 / area 0.3,-90.09999999998865,41.9942,-93.8486543,0.004327423167527489,0.4261590409283036
terrain-parametric,smallcell,availability,0.5,route only,-90.09999999998865,41.9942,-93.8486543,0.006000857265323678,0.4496356622374625
terrain-parametric,smallcell,availability,0.5,area only,-90.09999999998865,41.9506765,-93.8605702,0.0012682308180089197,0.3713802578735997
terrain-parametric,smallcell,availability,0.7,route 0.7 / area 0.3,-80.39999999998645,41.9942,-93.8486543,0.0030638401735622878,0.14287629911438565
terrain-parametric,smallcell,availability,0.7,route only,-80.39999999998645,41.9942,-93.8486543,0.0042863266180883375,0.1570938705529361
terrain-parametric,smallcell,availability,0.7,area only,-80.39999999998645,42.0085378,-93.8163845,0.0002113718030015005,0.10970196575776792
terrain-parametric,smallcell,availability,0.9,route 0.7 / area 0.3,-71.69999999998447,,,0.0,0.02902377212506941
terrain-parametric,smallcell,availability,0.9,route only,-71.69999999998447,,,0.0,0.03321903129018431
terrain-parametric,smallcell,availability,0.9,area only,-71.69999999998447,,,0.0,0.019234834073134643
terrain-parametric,smallcell,uplink_p50_mbps,5.0,route 0.7 / area 0.3,-86.09999999998774,42.0085378,-93.8163845,0.0036407275502624015,0.28484167907671926
terrain-parametric,smallcell,uplink_p50_mbps,5.0,route only,-86.09999999998774,42.0085378,-93.8163845,0.004929275610801587,0.30518645520788684
terrain-parametric,smallcell,uplink_p50_mbps,5.0,area only,-86.09999999998774,41.9361684,-93.7655216,0.0008454872120059187,0.23737053477066158
terrain-parametric,smallcell,uplink_p50_mbps,10.0,route 0.7 / area 0.3,-84.79999999998745,42.0085378,-93.8163845,0.0036407275502624015,0.24435747366029192
terrain-parametric,smallcell,uplink_p50_mbps,10.0,route only,-84.79999999998745,42.0085378,-93.8163845,0.004929275610801587,0.26275182168881267
terrain-parametric,smallcell,uplink_p50_mbps,10.0,area only,-84.79999999998745,42.0085378,-93.8163845,0.0006341154090044598,0.20143732826041008
terrain-parametric,smallcell,uplink_p50_mbps,25.0,route 0.7 / area 0.3,-81.4999999999867,41.9942,-93.8486543,0.0030638401735622323,0.16725559036742543
terrain-parametric,smallcell,uplink_p50_mbps,25.0,route only,-81.4999999999867,41.9942,-93.8486543,0.00428632661808831,0.18431204457779682
terrain-parametric,smallcell,uplink_p50_mbps,25.0,area only,-81.4999999999867,42.008535,-93.8065934,0.00021137180300145886,0.1274571972098922
terrain-parametric,smallcell,uplink_p10_mbps,2.0,route 0.7 / area 0.3,-71.69999999998447,,,0.0,0.02902377212506941
terrain-parametric,smallcell,uplink_p10_mbps,2.0,route only,-71.69999999998447,,,0.0,0.03321903129018431
terrain-parametric,smallcell,uplink_p10_mbps,2.0,area only,-71.69999999998447,,,0.0,0.019234834073134643
terrain-parametric,smallcell,uplink_p10_mbps,5.0,route 0.7 / area 0.3,-71.69999999998447,,,0.0,0.02902377212506941
terrain-parametric,smallcell,uplink_p10_mbps,5.0,route only,-71.69999999998447,,,0.0,0.03321903129018431
terrain-parametric,smallcell,uplink_p10_mbps,5.0,area only,-71.69999999998447,,,0.0,0.019234834073134643
terrain-parametric,smallcell,rsrp,-110.0,route 0.7 / area 0.3,-109.99999999999318,41.987064319080126,-93.86549831063091,0.015408922898035304,0.9434896895769962
terrain-parametric,smallcell,rsrp,-110.0,route only,-109.99999999999318,41.987064319080126,-93.86549831063091,0.017573939134162164,0.957136733819117
terrain-parametric,smallcell,rsrp,-110.0,area only,-109.99999999999318,42.01401365432986,-93.87275109214154,0.019234834073134754,0.9116465863453814
terrain-parametric,smallcell,rsrp,-100.0,route 0.7 / area 0.3,-99.9999999999909,41.9794857,-93.8646652,0.011163461797196628,0.7482217180586447
terrain-parametric,smallcell,rsrp,-100.0,route only,-99.9999999999909,41.9794857,-93.8646652,0.013501928846977984,0.7612516073724819
terrain-parametric,smallcell,rsrp,-100.0,area only,-99.9999999999909,41.94394538268056,-93.85099274760964,0.006341154090044543,0.7178186429930248
terrain-parametric,smallcell,rsrp,-95.0,route 0.7 / area 0.3,-94.99999999998977,41.9941267,-93.8543811,0.007471689723226094,0.6139584348629205
terrain-parametric,smallcell,rsrp,-95.0,route only,-94.99999999998977,41.9941267,-93.8543811,0.009858551221603062,0.6315902271753108
terrain-parametric,smallcell,rsrp,-95.0,area only,-94.99999999998977,41.9652402,-93.8571636,0.002959205242020757,0.5728175861340097
terrain-parametric,macro,availability,0.5,route 0.7 / area 0.3,-90.09999999998865,41.9795479,-93.8347064,0.23757716814876073,0.4261590409283036
terrain-parametric,macro,availability,0.5,route only,-90.09999999998865,41.9795479,-93.8347064,0.24346335190741525,0.4496356622374625
terrain-parametric,macro,availability,0.5,area only,-90.09999999998865,41.9795582,-93.8298336,0.22489959839357426,0.3713802578735997
terrain-parametric,macro,availability,0.7,route 0.7 / area 0.3,-80.39999999998645,41.9758962,-93.8404306,0.10873631915710763,0.14287629911438565
terrain-parametric,macro,availability,0.7,route only,-80.39999999998645,41.9758962,-93.8404306,0.11937419631375912,0.1570938705529361
terrain-parametric,macro,availability,0.7,area only,-80.39999999998645,41.97089471793029,-93.7784649325033,0.08602832382160225,0.10970196575776792
terrain-parametric,macro,availability,0.9,route 0.7 / area 0.3,-71.69999999998447,42.01401365432986,-93.8002232770352,0.0312060342346216,0.02902377212506941
terrain-parametric,macro,availability,0.9,route only,-71.69999999998447,42.01401365432986,-93.8002232770352,0.03814830690098584,0.03321903129018431
terrain-parametric,macro,availability,0.9,area only,-71.69999999998447,41.97089471793029,-93.7784649325033,0.018177975058127245,0.019234834073134643
terrain-parametric,macro,uplink_p50_mbps,5.0,route 0.7 / area 0.3,-86.09999999998774,41.987064319080126,-93.83648718458836,0.2107170668370688,0.28484167907671926
terrain-parametric,macro,uplink_p50_mbps,5.0,route only,-86.09999999998774,41.987064319080126,-93.83648718458836,0.22203171881697398,0.30518645520788684
terrain-parametric,macro,uplink_p50_mbps,5.0,area only,-86.09999999998774,41.987064319080126,-93.82923440307773,0.1845275840202917,0.23737053477066158
terrain-parametric,macro,uplink_p50_mbps,10.0,route 0.7 / area 0.3,-84.79999999998745,41.987064319080126,-93.83648718458836,0.1966088279845758,0.24435747366029192
terrain-parametric,macro,uplink_p50_mbps,10.0,route only,-84.79999999998745,41.987064319080126,-93.83648718458836,0.21003000428632668,0.26275182168881267
terrain-parametric,macro,uplink_p50_mbps,10.0,area only,-84.79999999998745,41.987064319080126,-93.82923440307773,0.16804058338617636,0.20143732826041008
terrain-parametric,macro,uplink_p50_mbps,25.0,route 0.7 / area 0.3,-81.4999999999867,41.987064319080126,-93.82923440307773,0.1282499773724356,0.16725559036742543
terrain-parametric,macro,uplink_p50_mbps,25.0,route only,-81.4999999999867,41.9758962,-93.8404306,0.13823403343334761,0.18431204457779682
terrain-parametric,macro,uplink_p50_mbps,25.0,area only,-81.4999999999867,41.987064319080126,-93.82923440307773,0.10695413231874867,0.1274571972098922
terrain-parametric,macro,uplink_p10_mbps,2.0,route 0.7 / area 0.3,-71.69999999998447,42.01401365432986,-93.8002232770352,0.0312060342346216,0.02902377212506941
terrain-parametric,macro,uplink_p10_mbps,2.0,route only,-71.69999999998447,42.01401365432986,-93.8002232770352,0.03814830690098584,0.03321903129018431
terrain-parametric,macro,uplink_p10_mbps,2.0,area only,-71.69999999998447,41.97089471793029,-93.7784649325033,0.018177975058127245,0.019234834073134643
terrain-parametric,macro,uplink_p10_mbps,5.0,route 0.7 / area 0.3,-71.69999999998447,42.01401365432986,-93.8002232770352,0.0312060342346216,0.02902377212506941
terrain-parametric,macro,uplink_p10_mbps,5.0,route only,-71.69999999998447,42.01401365432986,-93.8002232770352,0.03814830690098584,0.03321903129018431
terrain-parametric,macro,uplink_p10_mbps,5.0,area only,-71.69999999998447,41.97089471793029,-93.7784649325033,0.018177975058127245,0.019234834073134643
terrain-parametric,macro,rsrp,-110.0,route 0.7 / area 0.3,-109.99999999999318,41.9905537,-93.8493287,0.044245613310281096,0.9434896895769962
terrain-parametric,macro,rsrp,-110.0,route only,-109.99999999999318,41.9796044,-93.8098701,0.03857693956279484,0.957136733819117
terrain-parametric,macro,rsrp,-110.0,area only,-109.99999999999318,41.9905537,-93.8493287,0.058972733037412906,0.9116465863453814
terrain-parametric,macro,rsrp,-100.0,route 0.7 / area 0.3,-99.9999999999909,41.987064319080126,-93.82923440307773,0.18230736468104913,0.7482217180586447
terrain-parametric,macro,rsrp,-100.0,route only,-99.9999999999909,41.987064319080126,-93.82923440307773,0.1757393913416202,0.7612516073724819
terrain-parametric,macro,rsrp,-100.0,area only,-99.9999999999909,41.987064319080126,-93.82923440307773,0.19763263580638346,0.7178186429930248
terrain-parametric,macro,rsrp,-95.0,route 0.7 / area 0.3,-94.99999999998977,41.987064319080126,-93.82923440307773,0.22349528055597767,0.6139584348629205
terrain-parametric,macro,rsrp,-95.0,route only,-94.99999999998977,41.987064319080126,-93.82923440307773,0.2188169738534077,0.6315902271753108
terrain-parametric,macro,rsrp,-95.0,area only,-94.99999999998977,41.987064319080126,-93.82923440307773,0.2344113295286412,0.5728175861340097
sionna-hybrid,relay,availability,0.5,route 0.7 / area 0.3,-87.79999999998813,41.9942,-93.8486543,0.026054261035388437,0.3681037367146298
sionna-hybrid,relay,availability,0.5,route only,-87.79999999998813,41.9942,-93.8486543,0.03214744963566224,0.38898414059151304
sionna-hybrid,relay,availability,0.5,area only,-87.79999999998813,41.9942,-93.8486543,0.011836820968082862,0.3193827943352357
sionna-hybrid,relay,availability,0.7,route 0.7 / area 0.3,-84.19999999998731,41.9942,-93.8486543,0.014596939883521676,0.2196409977220226
sionna-hybrid,relay,availability,0.7,route only,-84.19999999998731,41.9942,-93.8486543,0.01885983711958844,0.24003429061294473
sionna-hybrid,relay,availability,0.7,area only,-84.19999999998731,41.9940665,-93.8594092,0.005495666878038485,0.1720566476432044
sionna-hybrid,relay,availability,0.9,route 0.7 / area 0.3,-77.0999999999857,41.9942,-93.8486543,0.006918000696358215,0.05107542766096759
sionna-hybrid,relay,availability,0.9,route only,-77.0999999999857,41.9942,-93.8486543,0.009429918559794255,0.053579082726103726
sionna-hybrid,relay,availability,0.9,area only,-77.0999999999857,42.0085567,-93.7967412,0.001268230818008878,0.04523356584231664
sionna-hybrid,relay,uplink_p50_mbps,5.0,route 0.7 / area 0.3,-87.79999999998813,41.9942,-93.8486543,0.026054261035388437,0.3681037367146298
sionna-hybrid,relay,uplink_p50_mbps,5.0,route only,-87.79999999998813,41.9942,-93.8486543,0.03214744963566224,0.38898414059151304
sionna-hybrid,relay,uplink_p50_mbps,5.0,area only,-87.79999999998813,41.9942,-93.8486543,0.011836820968082862,0.3193827943352357
sionna-hybrid,relay,uplink_p50_mbps,10.0,route 0.7 / area 0.3,-87.59999999998809,41.9942,-93.8486543,0.025864026412687036,0.36308032228175
sionna-hybrid,relay,uplink_p50_mbps,10.0,route only,-87.59999999998809,41.9942,-93.8486543,0.03214744963566224,0.385340762966138
sionna-hybrid,relay,uplink_p50_mbps,10.0,area only,-87.59999999998809,41.97089471793029,-93.74220102495012,0.012048192771084376,0.31113929401817797
sionna-hybrid,relay,uplink_p50_mbps,25.0,route 0.7 / area 0.3,-84.19999999998731,41.9942,-93.8486543,0.014596939883521676,0.2196409977220226
sionna-hybrid,relay,uplink_p50_mbps,25.0,route only,-84.19999999998731,41.9942,-93.8486543,0.01885983711958844,0.24003429061294473
sionna-hybrid,relay,uplink_p50_mbps,25.0,area only,-84.19999999998731,41.9940665,-93.8594092,0.005495666878038485,0.1720566476432044
sionna-hybrid,relay,uplink_p10_mbps,2.0,route 0.7 / area 0.3,-77.0999999999857,41.9942,-93.8486543,0.006918000696358215,0.05107542766096759
sionna-hybrid,relay,uplink_p10_mbps,2.0,route only,-77.0999999999857,41.9942,-93.8486543,0.009429918559794255,0.053579082726103726
sionna-hybrid,relay,uplink_p10_mbps,2.0,area only,-77.0999999999857,42.0085567,-93.7967412,0.001268230818008878,0.04523356584231664
sionna-hybrid,relay,uplink_p10_mbps,5.0,route 0.7 / area 0.3,-77.0999999999857,41.9942,-93.8486543,0.006918000696358215,0.05107542766096759
sionna-hybrid,relay,uplink_p10_mbps,5.0,route only,-77.0999999999857,41.9942,-93.8486543,0.009429918559794255,0.053579082726103726
sionna-hybrid,relay,uplink_p10_mbps,5.0,area only,-77.0999999999857,42.0085567,-93.7967412,0.001268230818008878,0.04523356584231664
sionna-hybrid,relay,rsrp,-110.0,route 0.7 / area 0.3,-109.99999999999318,41.9722588,-93.8403709,0.033272345365399136,0.9433845291604752
sionna-hybrid,relay,rsrp,-110.0,route only,-109.99999999999318,41.9758962,-93.8404306,0.03321903129018433,0.9549935705100728
sionna-hybrid,relay,rsrp,-110.0,area only,-109.99999999999318,41.97089471793029,-93.86549831063091,0.03741280913126188,0.916296766011414
sionna-hybrid,relay,rsrp,-100.0,route 0.7 / area 0.3,-99.9999999999909,41.9796272,-93.8448217,0.08574278615579023,0.7432060228189133
sionna-hybrid,relay,rsrp,-100.0,route only,-99.9999999999909,41.9796272,-93.8448217,0.09558508358336915,0.7606086583797684
sionna-hybrid,relay,rsrp,-100.0,area only,-99.9999999999909,41.9652013,-93.8469172,0.07102092580849728,0.7025998731769183
sionna-hybrid,relay,rsrp,-95.0,route 0.7 / area 0.3,-94.99999999998977,41.9836968,-93.8544515,0.05900490087224164,0.6293085940440988
sionna-hybrid,relay,rsrp,-95.0,route only,-94.99999999998977,41.9836968,-93.8544515,0.06708101157308177,0.6474496356622375
sionna-hybrid,relay,rsrp,-95.0,area only,-94.99999999998977,41.9836968,-93.8544515,0.04016064257028118,0.5869794969351089
sionna-hybrid,smallcell,availability,0.5,route 0.7 / area 0.3,-87.79999999998813,41.9942,-93.8486543,0.01117582881438911,0.3681037367146298
sionna-hybrid,smallcell,availability,0.5,route only,-87.79999999998813,41.9942,-93.8486543,0.014787826832404705,0.38898414059151304
sionna-hybrid,smallcell,availability,0.5,area only,-87.79999999998813,41.9744494,-93.8156068,0.003381948848023675,0.3193827943352357
sionna-hybrid,smallcell,availability,0.7,route 0.7 / area 0.3,-84.19999999998731,41.9942,-93.8486543,0.00698141223725865,0.2196409977220226
sionna-hybrid,smallcell,availability,0.7,route only,-84.19999999998731,41.9942,-93.8486543,0.00942991855979422,0.24003429061294473
sionna-hybrid,smallcell,availability,0.7,area only,-84.19999999998731,42.0085378,-93.8163845,0.0014796026210103785,0.1720566476432044
sionna-hybrid,smallcell,availability,0.9,route 0.7 / area 0.3,-77.0999999999857,42.0082877,-93.6999007,0.0035773160093619666,0.05107542766096759
sionna-hybrid,smallcell,availability,0.9,route only,-77.0999999999857,42.0082877,-93.6999007,0.004929275610801538,0.053579082726103726
sionna-hybrid,smallcell,availability,0.9,area only,-77.0999999999857,42.009554,-93.7766101,0.00042274360600295935,0.04523356584231664
sionna-hybrid,smallcell,uplink_p50_mbps,5.0,route 0.7 / area 0.3,-87.79999999998813,41.9942,-93.8486543,0.01117582881438911,0.3681037367146298
sionna-hybrid,smallcell,uplink_p50_mbps,5.0,route only,-87.79999999998813,41.9942,-93.8486543,0.014787826832404705,0.38898414059151304
sionna-hybrid,smallcell,uplink_p50_mbps,5.0,area only,-87.79999999998813,41.9744494,-93.8156068,0.003381948848023675,0.3193827943352357
sionna-hybrid,smallcell,uplink_p50_mbps,10.0,route 0.7 / area 0.3,-87.59999999998809,41.9942,-93.8486543,0.011175828814388944,0.36308032228175
sionna-hybrid,smallcell,uplink_p50_mbps,10.0,route only,-87.59999999998809,41.9942,-93.8486543,0.014787826832404594,0.385340762966138
