model,asset,criterion,method,lat,lon,gain,detail,pct_of_optimum,random_percentile,km_from_optimum
terrain-parametric,macro,availability>=0.5,optimiser (max-coverage over candidates),41.9795479,-93.8347064,0.23757716814876073,627 candidates,100.0,99.79959919839679,0.0
terrain-parametric,macro,availability>=0.5,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.21698709019306406,RSRP -140 dBm,91.33330946061112,97.1943887775551,1.653545853595013
terrain-parametric,macro,availability>=0.5,largest outage centroid,41.93986667601476,-93.77309468634687,0.12018289051710707,271 samples,50.58688570690162,51.503006012024045,6.739596570811892
terrain-parametric,macro,availability>=0.5,furthest measured point from the site,41.9362767,-93.678873,0.09355942052778077,12.3 km out,39.380644721380726,30.66132264529058,13.754655786274162
terrain-parametric,macro,availability>=0.5,random feasible candidate (n=499),,,0.11400581944783807,"median 0.1140, p90 0.1843, max 0.2376",47.98685847473882,45.89178356713427,
terrain-parametric,macro,uplink_p50_mbps>=10.0,optimiser (max-coverage over candidates),41.987064319080126,-93.83648718458836,0.1966088279845758,627 candidates,100.0,99.79959919839679,0.0
terrain-parametric,macro,uplink_p50_mbps>=10.0,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.18452822275634445,RSRP -140 dBm,93.85551231240792,99.19839679358718,0.8837120730179255
terrain-parametric,macro,uplink_p50_mbps>=10.0,largest outage centroid,41.93986667601476,-93.77309468634687,0.08618363634337467,271 samples,43.8350796486798,39.879759519038075,7.417209339794661
terrain-parametric,macro,uplink_p50_mbps>=10.0,furthest measured point from the site,41.9362767,-93.678873,0.043988855007187744,12.3 km out,22.37379443136639,15.831663326653306,14.203112865680412
terrain-parametric,macro,uplink_p50_mbps>=10.0,random feasible candidate (n=499),,,0.09486411085613695,"median 0.0949, p90 0.1495, max 0.1966",48.25017870691909,45.89178356713427,
terrain-parametric,relay,availability>=0.5,optimiser (max-coverage over candidates),42.0085378,-93.8163845,0.009012117230625394,627 candidates,100.0,99.79959919839679,0.0
terrain-parametric,relay,availability>=0.5,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.0026539890697312996,RSRP -140 dBm,29.44911835714244,83.36673346693387,2.044650565245247
terrain-parametric,relay,availability>=0.5,largest outage centroid,41.93986667601476,-93.77309468634687,0.0012976126764372986,271 samples,14.398533033144433,64.72945891783567,8.43287948613633
terrain-parametric,relay,availability>=0.5,furthest measured point from the site,41.9362767,-93.678873,0.003247891287667448,12.3 km out,36.03915932906769,87.7755511022044,13.92101328080511
terrain-parametric,relay,availability>=0.5,random feasible candidate (n=499),,,0.0012384576782574614,"median 0.0012, p90 0.0036, max 0.0090",13.742139017553802,64.12825651302605,
terrain-parametric,relay,uplink_p50_mbps>=10.0,optimiser (max-coverage over candidates),41.9942,-93.8486543,0.004990920434960189,627 candidates,100.0,99.79959919839679,0.0
terrain-parametric,relay,uplink_p50_mbps>=10.0,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.0025905775288307953,RSRP -140 dBm,51.90580700674824,95.59118236472945,1.3750604711525525
terrain-parametric,relay,uplink_p50_mbps>=10.0,largest outage centroid,41.93986667601476,-93.77309468634687,0.0003170577045021883,271 samples,6.352690022491159,50.70140280561122,8.690574139271408
terrain-parametric,relay,uplink_p50_mbps>=10.0,furthest measured point from the site,41.9362767,-93.678873,0.0013904060757660153,12.3 km out,27.858710510120687,73.74749498997996,15.444446162201071
terrain-parametric,relay,uplink_p50_mbps>=10.0,random feasible candidate (n=499),,,0.000825569820659512,"median 0.0008, p90 0.0022, max 0.0050",16.541434218758436,58.91783567134269,
sionna-hybrid,macro,availability>=0.5,optimiser (max-coverage over candidates),41.9651411,-93.8003173,0.3988892108239396,627 candidates,100.0,99.79959919839679,0.0
sionna-hybrid,macro,availability>=0.5,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.35695737129944183,RSRP -140 dBm,89.48784815766665,90.18036072144288,4.167281948941057
sionna-hybrid,macro,availability>=0.5,largest outage centroid,41.93986667601476,-93.77309468634687,0.30255827379271416,271 samples,75.8502024077699,70.94188376753507,3.600851975559446
sionna-hybrid,macro,availability>=0.5,furthest measured point from the site,41.9362767,-93.678873,0.15031404069591248,12.3 km out,37.68315527648041,14.228456913827655,10.543576939109649
sionna-hybrid,macro,availability>=0.5,random feasible candidate (n=499),,,0.24563135481264609,"median 0.2456, p90 0.3562, max 0.3989",61.578841479636324,48.897795591182366,
sionna-hybrid,macro,uplink_p50_mbps>=10.0,optimiser (max-coverage over candidates),41.97089471793029,-93.8002232770352,0.3939292079319603,627 candidates,100.0,99.79959919839679,0.0
sionna-hybrid,macro,uplink_p50_mbps>=10.0,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.35610982291790383,RSRP -140 dBm,90.39944633387312,90.5811623246493,3.6972098056805116
sionna-hybrid,macro,uplink_p50_mbps>=10.0,largest outage centroid,41.93986667601476,-93.77309468634687,0.3000836880130443,271 samples,76.17705972817201,70.54108216432866,4.115344989742606
sionna-hybrid,macro,uplink_p50_mbps>=10.0,furthest measured point from the site,41.9362767,-93.678873,0.14539889881904489,12.3 km out,36.90990561028881,14.228456913827655,10.747925804377036
sionna-hybrid,macro,uplink_p50_mbps>=10.0,random feasible candidate (n=499),,,0.2428732855918409,"median 0.2429, p90 0.3532, max 0.3939",61.6540435950081,49.09819639278557,
sionna-hybrid,relay,availability>=0.5,optimiser (max-coverage over candidates),41.9942,-93.8486543,0.026054261035388437,627 candidates,100.0,99.79959919839679,0.0
sionna-hybrid,relay,availability>=0.5,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.004141836368869889,RSRP -140 dBm,15.896963507213664,41.28256513026052,1.3750604711525525
sionna-hybrid,relay,availability>=0.5,largest outage centroid,41.93986667601476,-93.77309468634687,0.006667466672247657,271 samples,25.590695752957682,55.71142284569138,8.690574139271408
sionna-hybrid,relay,availability>=0.5,furthest measured point from the site,41.9362767,-93.678873,0.0071360814929354865,12.3 km out,27.389306813357088,58.31663326653307,15.444446162201071
sionna-hybrid,relay,availability>=0.5,random feasible candidate (n=499),,,0.006185375373293017,"median 0.0062, p90 0.0124, max 0.0261",23.740360031288834,53.106212424849694,
sionna-hybrid,relay,uplink_p50_mbps>=10.0,optimiser (max-coverage over candidates),41.9942,-93.8486543,0.025864026412687036,627 candidates,100.0,99.79959919839679,0.0
sionna-hybrid,relay,uplink_p50_mbps>=10.0,worst measured point (the brief's baseline),41.9942835,-93.8320158,0.004141836368869778,RSRP -140 dBm,16.013888567783436,41.883767535070135,1.3750604711525525
sionna-hybrid,relay,uplink_p50_mbps>=10.0,largest outage centroid,41.93986667601476,-93.77309468634687,0.0066040551313472085,271 samples,25.533747244039827,55.31062124248497,8.690574139271408
sionna-hybrid,relay,uplink_p50_mbps>=10.0,furthest measured point from the site,41.9362767,-93.678873,0.006622605657135683,12.3 km out,25.605470515167383,55.51102204408818,15.444446162201071
sionna-hybrid,relay,uplink_p50_mbps>=10.0,random feasible candidate (n=499),,,0.006074012874091836,"median 0.0061, p90 0.0123, max 0.0259",23.484405626466426,52.505010020040075,
